Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
mall,com.macro.mall.controller,PmsProductCategoryController,getItem,4,1,1
mall,com.macro.mall.controller,PmsProductCategoryController,delete,9,2,1
mall,com.macro.mall.controller,PmsProductCategoryController,updateNavStatus,9,2,2
mall,com.macro.mall.controller,PmsProductCategoryController,updateShowStatus,9,2,2
mall,com.macro.mall.controller,PmsProductCategoryController,listWithChildren,4,1,0
mall,com.macro.mall.controller,PmsProductController,create,9,2,1
mall,com.macro.mall.controller,PmsProductController,getUpdateInfo,4,1,1
mall,com.macro.mall.controller,PmsProductController,update,9,2,2
mall,com.macro.mall.controller,PmsProductController,getList,4,1,3
mall,com.macro.mall.controller,PmsProductController,getList,4,1,1
mall,com.macro.mall.controller,PmsProductController,updateVerifyStatus,9,2,3
mall,com.macro.mall.controller,PmsProductController,updatePublishStatus,9,2,2
mall,com.macro.mall.controller,PmsProductController,updateRecommendStatus,9,2,2
mall,com.macro.mall.controller,PmsProductController,updateNewStatus,9,2,2
mall,com.macro.mall.controller,PmsProductController,updateDeleteStatus,9,2,2
mall,com.macro.mall.controller,PmsSkuStockController,getList,4,1,2
mall,com.macro.mall.controller,PmsSkuStockController,update,9,2,2
mall,com.macro.mall.controller,SmsCouponController,add,7,2,1
mall,com.macro.mall.controller,SmsCouponController,delete,7,2,1
mall,com.macro.mall.controller,SmsCouponController,update,7,2,2
mall,com.macro.mall.controller,SmsCouponController,list,4,1,4
mall,com.macro.mall.controller,SmsCouponController,getItem,4,1,1
mall,com.macro.mall.controller,SmsCouponHistoryController,list,4,1,5
mall,com.macro.mall.controller,SmsFlashPromotionController,create,7,2,1
mall,com.macro.mall.controller,SmsFlashPromotionController,update,7,2,2
mall,com.macro.mall.controller,SmsFlashPromotionController,delete,7,2,1
mall,com.macro.mall.controller,SmsFlashPromotionController,update,7,2,2
mall,com.macro.mall.controller,SmsFlashPromotionController,getItem,4,1,1
mall,com.macro.mall.controller,SmsFlashPromotionController,getItem,4,1,3
mall,com.macro.mall.controller,SmsFlashPromotionProductRelationController,create,7,2,1
mall,com.macro.mall.controller,SmsFlashPromotionProductRelationController,update,7,2,2
mall,com.macro.mall.controller,SmsFlashPromotionProductRelationController,delete,7,2,1
mall,com.macro.mall.controller,SmsFlashPromotionProductRelationController,getItem,4,1,1
mall,com.macro.mall.controller,SmsFlashPromotionProductRelationController,list,4,1,4
mall,com.macro.mall.controller,SmsFlashPromotionSessionController,create,7,2,1
mall,com.macro.mall.controller,SmsFlashPromotionSessionController,update,7,2,2
mall,com.macro.mall.controller,SmsFlashPromotionSessionController,updateStatus,7,2,2
mall,com.macro.mall.controller,SmsFlashPromotionSessionController,delete,7,2,1
mall,com.macro.mall.controller,SmsFlashPromotionSessionController,getItem,4,1,1
mall,com.macro.mall.controller,SmsFlashPromotionSessionController,list,4,1,0
mall,com.macro.mall.controller,SmsFlashPromotionSessionController,selectList,4,1,1
mall,com.macro.mall.controller,SmsHomeAdvertiseController,create,5,2,1
mall,com.macro.mall.controller,SmsHomeAdvertiseController,delete,5,2,1
mall,com.macro.mall.controller,SmsHomeAdvertiseController,updateStatus,5,2,2
mall,com.macro.mall.controller,SmsHomeAdvertiseController,getItem,4,1,1
mall,com.macro.mall.controller,SmsHomeAdvertiseController,update,5,2,2
mall,com.macro.mall.controller,SmsHomeAdvertiseController,list,4,1,5
mall,com.macro.mall.controller,SmsHomeBrandController,create,7,2,1
mall,com.macro.mall.controller,SmsHomeBrandController,updateSort,7,2,2
mall,com.macro.mall.controller,SmsHomeBrandController,delete,7,2,1
mall,com.macro.mall.controller,SmsHomeBrandController,updateRecommendStatus,7,2,2
mall,com.macro.mall.controller,SmsHomeBrandController,list,4,1,4
mall,com.macro.mall.controller,SmsHomeNewProductController,create,7,2,1
mall,com.macro.mall.controller,SmsHomeNewProductController,updateSort,7,2,2
mall,com.macro.mall.controller,SmsHomeNewProductController,delete,7,2,1
mall,com.macro.mall.controller,SmsHomeNewProductController,updateRecommendStatus,7,2,2
mall,com.macro.mall.controller,SmsHomeNewProductController,list,4,1,4
mall,com.macro.mall.controller,SmsHomeRecommendProductController,create,7,2,1
mall,com.macro.mall.controller,SmsHomeRecommendProductController,updateSort,7,2,2
mall,com.macro.mall.controller,SmsHomeRecommendProductController,delete,7,2,1
mall,com.macro.mall.controller,SmsHomeRecommendProductController,updateRecommendStatus,7,2,2
mall,com.macro.mall.controller,SmsHomeRecommendProductController,list,4,1,4
mall,com.macro.mall.controller,SmsHomeRecommendSubjectController,create,7,2,1
mall,com.macro.mall.controller,SmsHomeRecommendSubjectController,updateSort,7,2,2
mall,com.macro.mall.controller,SmsHomeRecommendSubjectController,delete,7,2,1
mall,com.macro.mall.controller,SmsHomeRecommendSubjectController,updateRecommendStatus,7,2,2
mall,com.macro.mall.controller,SmsHomeRecommendSubjectController,list,4,1,4
mall,com.macro.mall.controller,UmsAdminController,register,7,2,1
mall,com.macro.mall.controller,UmsAdminController,login,10,2,1
mall,com.macro.mall.controller,UmsAdminController,refreshToken,11,2,1
mall,com.macro.mall.controller,UmsAdminController,getAdminInfo,17,3,1
mall,com.macro.mall.controller,UmsAdminController,logout,3,1,0
mall,com.macro.mall.controller,UmsAdminController,list,4,1,3
mall,com.macro.mall.controller,UmsAdminController,getItem,4,1,1
mall,com.macro.mall.controller,UmsAdminController,update,7,2,2
mall,com.macro.mall.controller,UmsAdminController,updatePassword,18,5,1
mall,com.macro.mall.controller,UmsAdminController,delete,7,2,1
mall,com.macro.mall.controller,UmsAdminController,updateStatus,9,2,2
mall,com.macro.mall.controller,UmsAdminController,updateRole,7,2,2
mall,com.macro.mall.controller,UmsAdminController,getRoleList,4,1,1
mall,com.macro.mall.controller,UmsMemberLevelController,list,4,1,1
mall,com.macro.mall.controller,UmsMenuController,create,9,2,1
mall,com.macro.mall.controller,UmsMenuController,update,9,2,2
mall,com.macro.mall.controller,UmsMenuController,getItem,4,1,1
mall,com.macro.mall.controller,UmsMenuController,delete,9,2,1
mall,com.macro.mall.controller,UmsMenuController,list,4,1,3
mall,com.macro.mall.controller,UmsMenuController,treeList,4,1,0
mall,com.macro.mall.controller,UmsMenuController,updateHidden,9,2,2
mall,com.macro.mall.controller,UmsResourceCategoryController,listAll,4,1,0
mall,com.macro.mall.controller,UmsResourceCategoryController,create,9,2,1
mall,com.macro.mall.controller,UmsResourceCategoryController,update,9,2,2
mall,com.macro.mall.controller,UmsResourceCategoryController,delete,9,2,1
mall,com.macro.mall.controller,UmsResourceController,create,10,2,1
mall,com.macro.mall.controller,UmsResourceController,update,10,2,2
mall,com.macro.mall.controller,UmsResourceController,getItem,4,1,1
mall,com.macro.mall.controller,UmsResourceController,delete,10,2,1
mall,com.macro.mall.controller,UmsResourceController,list,4,1,5
mall,com.macro.mall.controller,UmsResourceController,listAll,4,1,0
mall,com.macro.mall.controller,UmsRoleController,create,7,2,1
mall,com.macro.mall.controller,UmsRoleController,update,7,2,2
mall,com.macro.mall.controller,UmsRoleController,delete,7,2,1
mall,com.macro.mall.controller,UmsRoleController,listAll,4,1,0
mall,com.macro.mall.controller,UmsRoleController,list,4,1,3
mall,com.macro.mall.controller,UmsRoleController,updateStatus,9,2,2
mall,com.macro.mall.controller,UmsRoleController,listMenu,4,1,1
mall,com.macro.mall.controller,UmsRoleController,listResource,4,1,1
mall,com.macro.mall.controller,UmsRoleController,allocMenu,4,1,2
mall,com.macro.mall.controller,UmsRoleController,allocResource,4,1,2
mall,com.macro.mall.dao,CmsPrefrenceAreaProductRelationDao,insertList,0,1,1
mall,com.macro.mall.dao,CmsSubjectProductRelationDao,insertList,0,1,1
mall,com.macro.mall.dao,OmsOrderDao,getList,0,1,1
mall,com.macro.mall.dao,OmsOrderDao,delivery,0,1,1
mall,com.macro.mall.dao,OmsOrderDao,getDetail,0,1,1
mall,com.macro.mall.dao,OmsOrderOperateHistoryDao,insertList,0,1,1
mall,com.macro.mall.dao,OmsOrderReturnApplyDao,getList,0,1,1
mall,com.macro.mall.dao,OmsOrderReturnApplyDao,getDetail,0,1,1
mall,com.macro.mall.dao,PmsMemberPriceDao,insertList,0,1,1
mall,com.macro.mall.dao,PmsProductAttributeCategoryDao,getListWithAttr,0,1,0
mall,com.macro.mall.dao,PmsProductAttributeDao,getProductAttrInfo,0,1,1
mall,com.macro.mall.dao,PmsProductAttributeValueDao,insertList,0,1,1
mall,com.macro.mall.dao,PmsProductCategoryAttributeRelationDao,insertList,0,1,1
mall,com.macro.mall.dao,PmsProductCategoryDao,listWithChildren,0,1,0
mall,com.macro.mall.dao,PmsProductDao,getUpdateInfo,0,1,1
mall,com.macro.mall.dao,PmsProductFullReductionDao,insertList,0,1,1
mall,com.macro.mall.dao,PmsProductLadderDao,insertList,0,1,1
mall,com.macro.mall.dao,PmsProductVertifyRecordDao,insertList,0,1,1
mall,com.macro.mall.dao,PmsSkuStockDao,insertList,0,1,1
mall,com.macro.mall.dao,PmsSkuStockDao,replaceList,0,1,1
mall,com.macro.mall.dao,SmsCouponDao,getItem,0,1,1
mall,com.macro.mall.dao,SmsCouponProductCategoryRelationDao,insertList,0,1,1
mall,com.macro.mall.dao,SmsCouponProductRelationDao,insertList,0,1,1
mall,com.macro.mall.dao,SmsFlashPromotionProductRelationDao,getList,0,1,2
mall,com.macro.mall.dao,UmsAdminRoleRelationDao,insertList,0,1,1
mall,com.macro.mall.dao,UmsAdminRoleRelationDao,getRoleList,0,1,1
mall,com.macro.mall.dao,UmsAdminRoleRelationDao,getResourceList,0,1,1
mall,com.macro.mall.dao,UmsAdminRoleRelationDao,getAdminIdList,0,1,1
mall,com.macro.mall.dao,UmsRoleDao,getMenuList,0,1,1
mall,com.macro.mall.dao,UmsRoleDao,getMenuListByRoleId,0,1,1
mall,com.macro.mall.dao,UmsRoleDao,getResourceListByRoleId,0,1,1
mall,com.macro.mall,MallAdminApplication,main,3,1,1
mall,com.macro.mall,PmsDaoTests,testInsertBatch,12,2,0
mall,com.macro.mall,PmsDaoTests,testGetProductUpdateInfo,5,1,0
mall,com.macro.mall,CommentGenerator,addConfigurationProperties,4,1,1
mall,com.macro.mall,CommentGenerator,addFieldComment,9,3,3
mall,com.macro.mall,CommentGenerator,addFieldJavaDoc,9,2,2
mall,com.macro.mall,CommentGenerator,addJavaFileComment,6,2,1
mall,com.macro.mall,Generator,main,14,2,1
mall,com.macro.mall.service,CmsPrefrenceAreaService,listAll,0,1,0
mall,com.macro.mall.service,CmsSubjectService,listAll,0,1,0
mall,com.macro.mall.service,CmsSubjectService,list,0,1,3
mall,com.macro.mall.service,OmsCompanyAddressService,list,0,1,0
mall,com.macro.mall.service,OmsOrderReturnApplyService,list,0,1,3
mall,com.macro.mall.service,OmsOrderReturnApplyService,delete,0,1,1
mall,com.macro.mall.service,OmsOrderReturnApplyService,updateStatus,0,1,2
mall,com.macro.mall.service,OmsOrderReturnApplyService,getItem,0,1,1
mall,com.macro.mall.service,OmsOrderReturnReasonService,create,0,1,1
mall,com.macro.mall.service,OmsOrderReturnReasonService,update,0,1,2
mall,com.macro.mall.service,OmsOrderReturnReasonService,delete,0,1,1
mall,com.macro.mall.service,OmsOrderReturnReasonService,list,0,1,2
mall,com.macro.mall.service,OmsOrderReturnReasonService,updateStatus,0,1,2
mall,com.macro.mall.service,OmsOrderReturnReasonService,getItem,0,1,1
mall,com.macro.mall.service,OmsOrderService,list,0,1,3
mall,com.macro.mall.service,OmsOrderService,delivery,0,1,1
mall,com.macro.mall.service,OmsOrderService,close,0,1,2
mall,com.macro.mall.service,OmsOrderService,delete,0,1,1
mall,com.macro.mall.service,OmsOrderService,detail,0,1,1
mall,com.macro.mall.service,OmsOrderService,updateReceiverInfo,0,1,1
mall,com.macro.mall.service,OmsOrderService,updateMoneyInfo,0,1,1
mall,com.macro.mall.service,OmsOrderService,updateNote,0,1,3
mall,com.macro.mall.service,OmsOrderSettingService,getItem,0,1,1
mall,com.macro.mall.service,OmsOrderSettingService,update,0,1,2
mall,com.macro.mall.service,OssService,policy,0,1,0
mall,com.macro.mall.service,OssService,callback,0,1,1
mall,com.macro.mall.service,PmsBrandService,listAllBrand,0,1,0
mall,com.macro.mall.service,PmsBrandService,createBrand,0,1,1
mall,com.macro.mall.service,PmsBrandService,updateBrand,0,1,2
mall,com.macro.mall.service,PmsBrandService,deleteBrand,0,1,1
mall,com.macro.mall.service,PmsBrandService,deleteBrand,0,1,1
mall,com.macro.mall.service,PmsBrandService,listBrand,0,1,4
mall,com.macro.mall.service,PmsBrandService,getBrand,0,1,1
mall,com.macro.mall.service,PmsBrandService,updateShowStatus,0,1,2
mall,com.macro.mall.service,PmsBrandService,updateFactoryStatus,0,1,2
mall,com.macro.mall.service,PmsProductAttributeCategoryService,create,0,1,1
mall,com.macro.mall.service,PmsProductAttributeCategoryService,update,0,1,2
mall,com.macro.mall.service,PmsProductAttributeCategoryService,delete,0,1,1
mall,com.macro.mall.service,PmsProductAttributeCategoryService,getItem,0,1,1
mall,com.macro.mall.service,PmsProductAttributeCategoryService,getList,0,1,2
mall,com.macro.mall.service,PmsProductAttributeCategoryService,getListWithAttr,0,1,0
mall,com.macro.mall.service,PmsProductAttributeService,getList,0,1,4
mall,com.macro.mall.service,PmsProductAttributeService,create,0,1,1
mall,com.macro.mall.service,PmsProductAttributeService,update,0,1,2
mall,com.macro.mall.service,PmsProductAttributeService,getItem,0,1,1
mall,com.macro.mall.service,PmsProductAttributeService,delete,0,1,1
mall,com.macro.mall.service,PmsProductAttributeService,getProductAttrInfo,0,1,1
mall,com.macro.mall.service,PmsProductCategoryService,create,0,1,1
mall,com.macro.mall.service,PmsProductCategoryService,update,0,1,2
mall,com.macro.mall.service,PmsProductCategoryService,getList,0,1,3
mall,com.macro.mall.service,PmsProductCategoryService,delete,0,1,1
mall,com.macro.mall.service,PmsProductCategoryService,getItem,0,1,1
mall,com.macro.mall.service,PmsProductCategoryService,updateNavStatus,0,1,2
mall,com.macro.mall.service,PmsProductCategoryService,updateShowStatus,0,1,2
mall,com.macro.mall.service,PmsProductCategoryService,listWithChildren,0,1,0
mall,com.macro.mall.service,PmsProductService,create,0,1,1
mall,com.macro.mall.service,PmsProductService,getUpdateInfo,0,1,1
mall,com.macro.mall.service,PmsProductService,update,0,1,2
mall,com.macro.mall.service,PmsProductService,list,0,1,3
mall,com.macro.mall.service,PmsProductService,updateVerifyStatus,0,1,3
mall,com.macro.mall.service,PmsProductService,updatePublishStatus,0,1,2
mall,com.macro.mall.service,PmsProductService,updateRecommendStatus,0,1,2
mall,com.macro.mall.service,PmsProductService,updateNewStatus,0,1,2
mall,com.macro.mall.service,PmsProductService,updateDeleteStatus,0,1,2
mall,com.macro.mall.service,PmsProductService,list,0,1,1
mall,com.macro.mall.service,PmsSkuStockService,getList,0,1,2
mall,com.macro.mall.service,PmsSkuStockService,update,0,1,2
mall,com.macro.mall.service,SmsCouponHistoryService,list,0,1,5
mall,com.macro.mall.service,SmsCouponService,create,0,1,1
mall,com.macro.mall.service,SmsCouponService,delete,0,1,1
mall,com.macro.mall.service,SmsCouponService,update,0,1,2
mall,com.macro.mall.service,SmsCouponService,list,0,1,4
mall,com.macro.mall.service,SmsCouponService,getItem,0,1,1
mall,com.macro.mall.service,SmsFlashPromotionProductRelationService,create,0,1,1
mall,com.macro.mall.service,SmsFlashPromotionProductRelationService,update,0,1,2
mall,com.macro.mall.service,SmsFlashPromotionProductRelationService,delete,0,1,1
mall,com.macro.mall.service,SmsFlashPromotionProductRelationService,getItem,0,1,1
mall,com.macro.mall.service,SmsFlashPromotionProductRelationService,list,0,1,4
mall,com.macro.mall.service,SmsFlashPromotionProductRelationService,getCount,0,1,2
mall,com.macro.mall.service,SmsFlashPromotionService,create,0,1,1
mall,com.macro.mall.service,SmsFlashPromotionService,update,0,1,2
mall,com.macro.mall.service,SmsFlashPromotionService,delete,0,1,1
mall,com.macro.mall.service,SmsFlashPromotionService,updateStatus,0,1,2
mall,com.macro.mall.service,SmsFlashPromotionService,getItem,0,1,1
mall,com.macro.mall.service,SmsFlashPromotionService,list,0,1,3
mall,com.macro.mall.service,SmsFlashPromotionSessionService,create,0,1,1
mall,com.macro.mall.service,SmsFlashPromotionSessionService,update,0,1,2
mall,com.macro.mall.service,SmsFlashPromotionSessionService,updateStatus,0,1,2
mall,com.macro.mall.service,SmsFlashPromotionSessionService,delete,0,1,1
mall,com.macro.mall.service,SmsFlashPromotionSessionService,getItem,0,1,1
mall,com.macro.mall.service,SmsFlashPromotionSessionService,list,0,1,0
mall,com.macro.mall.service,SmsFlashPromotionSessionService,selectList,0,1,1
mall,com.macro.mall.service,SmsHomeAdvertiseService,create,0,1,1
mall,com.macro.mall.service,SmsHomeAdvertiseService,delete,0,1,1
mall,com.macro.mall.service,SmsHomeAdvertiseService,updateStatus,0,1,2
mall,com.macro.mall.service,SmsHomeAdvertiseService,getItem,0,1,1
mall,com.macro.mall.service,SmsHomeAdvertiseService,update,0,1,2
mall,com.macro.mall.service,SmsHomeAdvertiseService,list,0,1,5
mall,com.macro.mall.service,SmsHomeBrandService,create,0,1,1
mall,com.macro.mall.service,SmsHomeBrandService,updateSort,0,1,2
mall,com.macro.mall.service,SmsHomeBrandService,delete,0,1,1
mall,com.macro.mall.service,SmsHomeBrandService,updateRecommendStatus,0,1,2
mall,com.macro.mall.service,SmsHomeBrandService,list,0,1,4
mall,com.macro.mall.service,SmsHomeNewProductService,create,0,1,1
mall,com.macro.mall.service,SmsHomeNewProductService,updateSort,0,1,2
mall,com.macro.mall.service,SmsHomeNewProductService,delete,0,1,1
mall,com.macro.mall.service,SmsHomeNewProductService,updateRecommendStatus,0,1,2
mall,com.macro.mall.service,SmsHomeNewProductService,list,0,1,4
mall,com.macro.mall.service,SmsHomeRecommendProductService,create,0,1,1
mall,com.macro.mall.service,SmsHomeRecommendProductService,updateSort,0,1,2
mall,com.macro.mall.service,SmsHomeRecommendProductService,delete,0,1,1
mall,com.macro.mall.service,SmsHomeRecommendProductService,updateRecommendStatus,0,1,2
mall,com.macro.mall.service,SmsHomeRecommendProductService,list,0,1,4
mall,com.macro.mall.service,SmsHomeRecommendSubjectService,create,0,1,1
mall,com.macro.mall.service,SmsHomeRecommendSubjectService,updateSort,0,1,2
mall,com.macro.mall.service,SmsHomeRecommendSubjectService,delete,0,1,1
mall,com.macro.mall.service,SmsHomeRecommendSubjectService,updateRecommendStatus,0,1,2
mall,com.macro.mall.service,SmsHomeRecommendSubjectService,list,0,1,4
mall,com.macro.mall.service,UmsAdminCacheService,delAdmin,0,1,1
mall,com.macro.mall.service,UmsAdminCacheService,delResourceList,0,1,1
mall,com.macro.mall.service,UmsAdminCacheService,delResourceListByRole,0,1,1
mall,com.macro.mall.service,UmsAdminCacheService,delResourceListByRoleIds,0,1,1
mall,com.macro.mall.service,UmsAdminCacheService,delResourceListByResource,0,1,1
mall,com.macro.mall.service,UmsAdminCacheService,getAdmin,0,1,1
mall,com.macro.mall.service,UmsAdminCacheService,setAdmin,0,1,1
mall,com.macro.mall.service,UmsAdminCacheService,getResourceList,0,1,1
mall,com.macro.mall.service,UmsAdminCacheService,setResourceList,0,1,2
mall,com.macro.mall.service,UmsAdminService,getAdminByUsername,0,1,1
mall,com.macro.mall.service,UmsAdminService,register,0,1,1
mall,com.macro.mall.service,UmsAdminService,login,0,1,2
mall,com.macro.mall.service,UmsAdminService,refreshToken,0,1,1
mall,com.macro.mall.service,UmsAdminService,getItem,0,1,1
mall,com.macro.mall.service,UmsAdminService,list,0,1,3
mall,com.macro.mall.service,UmsAdminService,update,0,1,2
mall,com.macro.mall.service,UmsAdminService,delete,0,1,1
mall,com.macro.mall.service,UmsAdminService,updateRole,0,1,2
mall,com.macro.mall.service,UmsAdminService,getRoleList,0,1,1
mall,com.macro.mall.service,UmsAdminService,getResourceList,0,1,1
mall,com.macro.mall.service,UmsAdminService,updatePassword,0,1,1
mall,com.macro.mall.service,UmsAdminService,loadUserByUsername,0,1,1
mall,com.macro.mall.service,UmsAdminService,getCacheService,0,1,0
mall,com.macro.mall.service,UmsMemberLevelService,list,0,1,1
mall,com.macro.mall.service,UmsMenuService,create,0,1,1
mall,com.macro.mall.service,UmsMenuService,update,0,1,2
mall,com.macro.mall.service,UmsMenuService,getItem,0,1,1
mall,com.macro.mall.service,UmsMenuService,delete,0,1,1
mall,com.macro.mall.service,UmsMenuService,list,0,1,3
mall,com.macro.mall.service,UmsMenuService,treeList,0,1,0
mall,com.macro.mall.service,UmsMenuService,updateHidden,0,1,2
mall,com.macro.mall.service,UmsResourceCategoryService,listAll,0,1,0
mall,com.macro.mall.service,UmsResourceCategoryService,create,0,1,1
mall,com.macro.mall.service,UmsResourceCategoryService,update,0,1,2
mall,com.macro.mall.service,UmsResourceCategoryService,delete,0,1,1
mall,com.macro.mall.service,UmsResourceService,create,0,1,1
mall,com.macro.mall.service,UmsResourceService,update,0,1,2
mall,com.macro.mall.service,UmsResourceService,getItem,0,1,1
mall,com.macro.mall.service,UmsResourceService,delete,0,1,1
mall,com.macro.mall.service,UmsResourceService,list,0,1,5
mall,com.macro.mall.service,UmsResourceService,listAll,0,1,0
mall,com.macro.mall.service,UmsRoleService,create,0,1,1
mall,com.macro.mall.service,UmsRoleService,update,0,1,2
mall,com.macro.mall.service,UmsRoleService,delete,0,1,1
mall,com.macro.mall.service,UmsRoleService,list,0,1,0
mall,com.macro.mall.service,UmsRoleService,list,0,1,3
mall,com.macro.mall.service,UmsRoleService,getMenuList,0,1,1
mall,com.macro.mall.service,UmsRoleService,listMenu,0,1,1
mall,com.macro.mall.service,UmsRoleService,listResource,0,1,1
mall,com.macro.mall.service,UmsRoleService,allocMenu,0,1,2
mall,com.macro.mall.service,UmsRoleService,allocResource,0,1,2
mall,com.macro.mall.service.impl,CmsPrefrenceAreaServiceImpl,listAll,3,1,0
mall,com.macro.mall.service.impl,CmsSubjectServiceImpl,listAll,3,1,0
mall,com.macro.mall.service.impl,CmsSubjectServiceImpl,list,9,2,3
mall,com.macro.mall.service.impl,OmsCompanyAddressServiceImpl,list,3,1,0
mall,com.macro.mall.service.impl,OmsOrderReturnApplyServiceImpl,list,4,1,3
mall,com.macro.mall.service.impl,OmsOrderReturnApplyServiceImpl,delete,5,1,1
mall,com.macro.mall.service.impl,OmsOrderReturnApplyServiceImpl,updateStatus,31,4,2
mall,com.macro.mall.service.impl,OmsOrderReturnApplyServiceImpl,getItem,3,1,1
mall,com.macro.mall.service.impl,OmsOrderReturnReasonServiceImpl,create,4,1,1
mall,com.macro.mall.service.impl,OmsOrderReturnReasonServiceImpl,update,4,1,2
mall,com.macro.mall.service.impl,OmsOrderReturnReasonServiceImpl,delete,5,1,1
mall,com.macro.mall.service.impl,OmsOrderReturnReasonServiceImpl,list,6,1,2
mall,com.macro.mall.service.impl,OmsOrderReturnReasonServiceImpl,updateStatus,10,2,2
mall,com.macro.mall.service.impl,OmsOrderReturnReasonServiceImpl,getItem,3,1,1
